Gene names	Protein IDs	Mock - 4 hr Rep 1	4 hr Rep 1	12 hr Rep 1	24 hr Rep 1	48 hr Rep 1	72 hr Rep 1	96 hr Rep 1	Mock - 96 hr Rep 1	Mock - 4 hr Rep 2	4 hr Rep 2	12 hr Rep 2	24 hr Rep 2	48 hr Rep 2	72 hr Rep 2	96 hr Rep 2	Mock - 96 hr Rep 2	Mock - 4 hr Rep 3	4 hr Rep 3	12 hr Rep 3	24 hr Rep 3	48 hr Rep 3	72 hr Rep 3	96 hr Rep 3	Mock - 96 hr Rep 3
IFIT5	Q13325;Q13325-2	0.086676491	-0.073330389	0.073884858	0.027560646	-0.010916104	0.104885793	0.036839697	0.551604632	-0.013384784	-0.266310634	-0.020803521	-0.080543294	-0.133958631	0.119299869	-0.117238004	0.205321573	-0.034979454	-0.050219858	-0.002136398	0.01506219	-0.115398974	0.133388805	-0.199321868	0.156783366
TRIM21	P19474;P19474-2	0.216622364	0.361270993	-0.429272921	-0.096385901	-0.09056572	0.082304859	-0.195390404	0.113942105	0.091230586	0.345287651	-0.236369523	-0.35200926	0.012329438	0.02561536	0.038776474	0.006570519	0.066485849	0.242601545	-0.283608026	-0.356204316	-0.270023993	-0.297137228	-0.1199988	-0.179939612
IFIT3	O14879	-4.81E-04	-0.178908447	-0.483241686	-0.404529792	-0.160461707	0.515519976	0.454282963	-0.243539065	-0.262236314	-0.378432956	-0.573308617	-0.4867026	-0.148196085	0.460532404	0.603510756	-0.100864623	-0.219436639	-0.229612945	-0.414355643	-0.348294217	-0.213094497	0.138975841	0.301014112	-0.157931614
SP110	Q9HB58;Q9HB58-6;Q9HB58-5;Q9HB58-3;Q9HB58-7;Q9HB58-2;Q9HB58-4	0.059663674	-0.225336911	-0.20358952	-0.209717925	-0.378506133	-0.141903076	-0.057538391	-0.056595734	-0.02786404	-0.124319998	-0.070855067	-0.052648471	-0.078803665	-0.042768868	-0.067029685	0.064947202	-0.035375976	-0.170732343	0.065697251	-0.098591791	0.099828767	0.112035237	0.093523033	0.110833023
TAP1	Q03518	-0.478126718	-0.44540448	0.463936725	0.284190285	0.383709407	0.270550255	-0.111466764	-0.007482881	-0.260810805	-0.593406351	0.235865893	0.212983299	0.313221701	0.189598147	0.124076895	-0.148449811	-0.426437257	-0.753286067	0.246131281	0.144845788	0.102159898	-0.030577944	-0.232821621	-0.175369719
IFI35	P80217;P80217-2	-0.044525194	0.105288456	-0.056347991	-0.022858227	0.198688504	0.12805635	0.020779534	0.13668302	-0.069687382	0.027578224	-0.179026946	-0.263651444	-0.032615043	0.004299257	0.068355335	-0.01697905	-0.119527871	-0.036105199	-0.116101099	-0.191163046	-0.156376176	-0.103653957	-0.097422492	0.025080851
PSMB8	P28062;P28062-2	-0.198094543	-0.221987399	0.093650344	-0.099692962	-0.013787281	0.216464081	0.154266777	0.013419502	-0.063603873	-0.163385414	-0.054420235	-0.08902791	0.084700175	0.244038828	0.25968005	-0.111693247	-0.099238015	-0.107622196	-0.014796833	0.015718784	0.019522325	0.183269629	0.167544453	-0.164806522
SEMA3A	Q14563	-0.102521022	-0.174865684	-0.028972062	-0.203983418	-0.23185354	0.020482008	0.163614322	0.070020673	0.024055063	-0.106440485	-0.062056521	-0.070587667	0.026521746	0.018512725	0.101283789	0.081010008	0.177679962	0.122531991	0.048126479	0.101801714	0.160399087	0.315057481	0.305198431	0.264898733
IFIT1	P09914-2;P09914;Q5T764	-0.284418674	-0.387634738	-0.416372767	-0.247940334	-0.284463024	0.16730036	0.193828741	0.445779249	-0.151473602	-0.276410135	-0.212924274	-0.194264428	-0.156062363	0.20979489	0.150147252	0.488179464	-0.246301891	-0.259326564	-0.308489439	-0.254953627	-0.149854142	0.44980891	0.259482545	0.32996401
B2M	P61769	0.088446148	0.173396847	0.057500266	0.125087703	0.228406364	0.173831027	-0.026070587	0.072771055	0.076512481	0.183778039	-0.005079732	-0.064746439	0.171182431	0.085354326	0.091608995	-0.002841423	0.010896858	-0.058726536	-0.089199335	-0.268729346	-0.076999831	-0.122537212	-0.164349169	-0.068507617
DHX58	Q96C10	-0.107449229	-0.199885536	0.026173655	-0.075337669	-0.094809723	0.030816054	0.013684798	0.140418489	-0.053108858	-0.097983301	0.028407715	0.057091366	0.004167529	0.134493263	0.028478642	0.166391748	-0.122077777	0.01514458	0.10252077	-0.022332657	-0.071887283	0.220069471	0.11891134	0.161041785
CDCA5	Q96FF9	0.053056831	-0.037547948	0.064089605	0.214955586	0.159049608	0.418558492	0.254382836	0.001618612	-0.193709782	-0.12861704	0.195343253	0.10315885	0.174896785	0.235157196	0.238551144	0.035376023	-0.037967316	0.231653025	0.03725671	0.072114249	0.167583111	0.472875668	0.238582956	0.067062516
BRIP1	Q9BX63;Q9BX63-2	-0.180964168	-0.207032336	0.02879972	-0.14760158	-0.309485108	0.096727727	0.149146168	0.331039256	-0.163143694	-0.228364302	-0.215401681	-0.061111276	-0.188892969	0.174001261	-0.013717948	0.340594267	0.02434589	-0.067125922	-0.067086284	-0.063278366	-0.144119818	0.167655858	0.179627799	0.367364512
PSMB9	P28065;P28065-2	0.315341801	0.073857608	0.301661095	0.008675486	-0.218443838	0.12140694	0.262462658	0.492916758	0.086041377	-0.120645815	-0.031272366	-0.052578779	-0.117977196	-0.008345625	0.016649411	0.287144854	0.206216583	0.202479457	0.14822788	0.185278331	-0.047819477	0.239248722	0.115043644	0.30371161
SEMA3C	Q99985;Q99985-2	-0.17017808	-0.220753287	-0.256698084	-0.101518082	-0.234645828	0.125305679	-0.06720827	0.065950636	-0.009199567	-0.010607015	-0.191051928	-0.188653921	-0.109347904	-0.046255865	0.056797287	0.079856506	-0.115471927	0.046105758	-0.130344337	-0.063601595	-9.56E-04	-0.035955101	-0.003886728	-0.027670764
TENM3	Q9P273;Q6N022	-0.102717348	-0.104749252	0.124261094	-0.041607377	6.55E-05	0.089272258	0.087547504	0.094044724	0.044631061	-0.035828009	0.047621084	0.065885518	0.06486422	0.106172509	0.118207908	0.096922988	-0.088742003	-0.01268734	0.015200514	0.02804717	-0.026898003	0.058210903	0.008191247	0.069985656
UHRF1	Q96T88;Q96T88-2	0.111375527	-0.055619831	0.418026533	-0.106062551	0.164960781	0.254450207	0.23192312	0.050647035	0.632872851	-0.742928964	0.294407047	0.570140123	0.349727126	0.861246177	1.052732543	0.399784266	0.52494547	0.314835849	-0.073847047	-0.208334408	-0.073360383	0.691326027	-0.937483726	-0.708260273
PARP12	Q9H0J9	0.529088192	0.36798873	0.548574513	0.223225869	-0.136444844	-0.179825753	-0.413097557	-0.156492677	0.302385301	0.283089644	0.367055451	0.120018451	-0.283707317	-0.359554729	-0.267024243	-0.294043146	0.45605276	0.31046895	0.523593869	0.163553093	-0.052927973	-0.174175951	-0.214875951	-0.033186114
MCM10	Q7L590;Q7L590-2	-0.299945791	-0.093227536	0.120784401	0.149503851	0.378663504	0.664608374	0.652566689	-0.06509744	-0.386942617	0.067907708	-0.203021561	-0.002723272	0.114224727	0.453546956	0.550972407	-0.232473041	-0.140307289	-0.272093822	-0.193800748	-0.566884322	-0.087676397	0.364104044	0.362140548	-0.272366979
SOSTDC1	Q6X4U4;Q6X4U4-2	-0.269408873	0.298015844	0.246436676	0.015757027	-0.438714057	-0.141562852	-0.557274941	-1.053638881	0.340731294	0.57342365	0.573336918	0.220114122	-0.046129548	0.119586962	-0.021325035	-0.79226626	0.276563015	0.33331433	0.227621438	0.247055293	0.196318414	0.001231267	-0.060423513	-1.387167213
CBX2	Q14781;Q14781-2	-0.203776574	-0.088478475	-0.532299514	-0.264471622	0.172243057	0.203737917	0.373634504	0.102966694	-0.219720162	-0.188927653	-0.246316416	-0.406455036	0.090231442	0.368827158	0.461409502	0.08708966	-0.314139007	-0.359164255	-0.600561819	-0.423238877	-0.180241607	-0.074191695	0.200974168	-0.065420611
IRF9	Q00978	0.204016893	0.076899288	0.034111493	-0.063749572	-0.141300629	-0.033752773	-0.069393112	0.136324813	0.100316182	0.008284636	-0.061824413	0.071668645	-0.029358909	-0.115164502	-0.217370423	0.137990769	0.236295042	0.172573661	0.063685319	0.150351832	0.10749497	0.213678807	-0.016125277	0.22304225
APOL2	Q9BQE5	-0.004795028	-0.056651569	-0.210390358	-0.236562393	-0.362698402	-0.125728267	-0.037322693	0.091504019	-0.076760923	-0.091075105	-0.066342104	-0.153502729	-0.198610105	-0.125524834	-0.21117362	0.270621626	-0.039238595	0.014170872	0.110690174	0.00491942	-0.0704641	0.034313507	0.127780246	0.267468559
HLA-B	P30481;P30485	-0.004904211	-0.214660399	-0.377042627	-0.501506115	-0.191269402	0.10716314	0.08640542	0.001662685	-0.00205754	-0.12503067	-0.197032516	-0.31566215	-0.094935713	0.193870895	0.183173826	0.261007041	0.098020772	0.13086024	-0.173325173	-0.194152679	-0.061781223	0.456678821	0.111191321	0.188455658
CDCA2	Q69YH5;Q69YH5-2	0.058331663	-0.025627912	0.062638866	-0.152175484	-0.181791347	-0.154834877	-0.04394658	0.011948096	-0.017274929	0.001060613	-0.019153683	-0.28262482	-0.278400584	-0.046482634	0.034635784	-0.112803145	0.267557098	0.201383983	0.144945761	-0.232089992	-0.383510067	0.251543387	0.195259177	0.326876772
TDRD7	Q8NHU6;Q8NHU6-2;Q8NHU6-3	0.123833301	-0.623304341	0.101824958	-0.399233158	-0.1827375	-0.055967408	-0.707378328	-0.334407018	-1.026317902	-0.731133069	-0.18236361	0.057538615	-0.348310917	0.238129584	0.334666757	-0.549382129	0.00372955	0.115813788	0.095188672	-0.03035706	0.065147604	0.478534118	0.625294183	-0.25018924
CMPK2	Q5EBM0;Q5EBM0-4;Q5EBM0-3;Q5EBM0-2	-0.137712339	-0.162708604	-0.269633711	-0.733300331	-0.274210319	0.713949733	0.753875506	0.363430751	-0.266190457	-0.277141872	-0.541823995	-0.907293651	-0.207036787	0.514687896	1.000125674	0.193820791	-0.568147505	-0.411610725	-0.815590856	-1.120694779	-0.881671908	0.206260501	0.516776847	0.059671571
TK1	P04183	0.064197052	0.210860083	0.288636041	0.088474196	-0.018328363	-0.038595724	-0.120698864	-0.005965473	0.039575045	0.05534652	0.050525499	-0.136356218	-0.197133801	-0.051796633	0.026676153	-0.019373739	0.098582783	0.149788654	0.008893423	-0.111324666	-0.152625091	0.010614961	-0.103484791	-0.002903373
SHFL	Q9NUL5;Q9NUL5-3;Q9NUL5-4;Q9NUL5-2	-0.151395242	-0.04771534	-0.121172809	0.018462569	0.20005864	0.135172212	0.039281137	0.063878795	-0.070888514	-0.025128672	-0.078021176	-0.130237992	0.067253326	0.095645452	0.11663644	-1.63E-04	-0.122487769	-0.046526216	-0.058500847	-0.130625097	-0.04532941	-0.003150501	0.056351479	0.022204366
CHAF1B	Q13112	0.159215834	0.075331883	0.126183545	-0.002296135	-0.056957245	0.064234265	-0.067859425	0.17528286	0.11607522	0.036317792	-0.01142971	0.148381097	-0.033445381	-0.066959674	-0.079722759	0.106498089	0.111800335	0.056209186	-0.006523635	0.110928241	-0.14648691	0.06385315	-0.153720278	0.053899144
EXO1	Q9UQ84;Q9UQ84-4	-0.096839546	-0.121023024	0.00300997	-0.021307801	0.134770515	0.339622956	0.339218886	0.152170032	-0.255052937	-0.281816864	-0.189499263	-0.190004234	-0.024382739	0.213371542	0.197074702	0.021249091	-0.238870257	-0.255963204	-0.325167163	-0.160525393	-0.013042572	0.093471668	0.061870537	0.105545403
DHRS1	Q96LJ7	0.11160466	0.175166685	0.254498775	-0.263230772	-0.014005757	0.321862962	0.204509952	0.338044619	0.252055064	-0.041915921	-0.107642115	-0.419158169	-0.112721617	0.335502591	0.274994489	0.022874273	0.061421807	0.220103143	-0.040203147	-0.368939274	-0.230771676	0.220649638	-0.061777359	0.164098429
PNPT1	Q8TCS8	-0.124527024	-0.271996708	-0.188620003	-0.164425594	-0.014843494	0.261502856	0.216149999	0.165177045	-0.106636354	-0.437332628	-0.300111555	-0.058630375	0.076775092	0.199013653	0.197304008	-0.015679719	0.039531383	0.020238805	-0.219289386	-0.03329364	0.125645275	0.297904059	0.201357994	0.058076428
MASTL	Q96GX5-3;Q96GX5;Q96GX5-2	0.203177721	0.026079952	0.140180887	0.058581974	-0.203542524	7.39E-04	-0.218619641	0.264812796	0.114463186	-0.036561439	0.17927034	0.047658947	-0.291622862	-0.219570614	-0.239889238	0.245299439	0.191053218	0.227367436	0.249169571	0.076481928	-0.207423943	-0.05583846	-0.07519635	0.360183142
MX1	P20591;P20591-2;P20592;P20592-2	0.043116881	0.25486775	-0.141949928	-0.037176778	-0.495263035	-0.183169341	-0.0091642	0.222182861	0.1055481	-0.193915821	-0.082991444	-0.09001926	-0.474227323	-0.059442888	0.062988374	0.352097717	-0.025861611	0.286825171	0.24783268	0.086538133	0.009059358	0.329765885	0.117674269	0.457074826
SLIT2	O94813;O94813-3;O94813-2	-0.0292471	-0.03217598	0.314606232	0.254916474	-0.029803103	-0.137215497	-0.211147342	-0.256552628	0.03438322	-0.048187226	0.233064037	0.295152603	0.019609138	-0.148978202	-0.253244904	-0.218581745	-0.007740315	0.021703919	0.285694904	0.339240281	0.071356691	-0.080009306	-0.272153816	-0.271633949
TAPBP	O15533;O15533-2;O15533-3;O15533-4	-0.230261387	-0.141101954	6.23E-04	0.350176585	0.151051117	0.225948164	0.403129922	-0.141177004	0.034066375	-0.276168246	0.129041873	0.263292867	0.33784753	0.065658108	0.056725928	-0.186043292	-0.31135704	-0.163253356	-0.084383302	-0.054600965	0.217355171	0.23778301	0.213231332	-0.405365075
POLA1	P09884	0.157215553	0.106976192	0.413111547	0.443285911	0.180558449	-0.246349313	-0.24827654	-0.34049121	0.112232397	0.170672759	0.303146164	0.224509738	-0.007761171	-0.226478424	-0.215673672	-0.242237254	0.183050801	0.037248166	0.184224462	0.132200117	-0.032763339	-0.12726561	-0.087078623	-0.085263959
PML	P29590;P29590-3;P29590-8;P29590-5;P29590-9;P29590-4;P29590-14;P29590-10	-0.210245214	-0.274628077	-0.486642388	-0.394550725	-0.015559637	-0.223228706	0.117941628	-0.126634	-0.131657613	-0.159688136	-0.169831263	-0.179499335	0.099690036	0.147782712	0.138500687	-0.081020135	0.082224819	0.219502841	-0.208707667	-0.103261644	0.141142957	0.106967989	0.465137347	-0.13574563
HMOX1	P09601	0.188585318	0.142582138	0.469899378	0.389247249	0.377687059	0.175842927	-0.058512898	-0.002061397	0.20949359	0.031260101	0.132857806	0.382765972	0.16171014	0.128237566	-0.045731586	-0.193423776	0.368391322	0.215349515	0.305329776	0.319432331	0.238347678	0.28987258	0.061740702	-0.382153761
HLA-A	P01892;P30459;P10314;P16189;Q09160;P30512	-0.043190129	-0.106465947	0.82972034	0.473366013	0.189224602	0.670154749	0.336009002	0.416637945	-0.078352313	-0.092238876	0.153717361	0.373869954	0.14042297	0.007354708	0.08100406	-0.295295404	-0.140019548	-0.095084287	0.173859765	0.08367187	0.049078321	0.148510907	-0.163974106	-0.166126889
SLC5A3	P53794	-0.193091284	-0.069779526	0.253129655	0.264121036	0.380674985	0.328093587	0.203211978	0.265005692	0.285488342	-0.259617129	-0.023332195	0.216557327	0.150439014	0.262133524	0.416079229	0.08890018	0.077908245	0.053172733	-0.059700573	-0.119650364	-0.066917202	0.487317929	0.057333828	0.355143479
IFIH1	Q9BYX4;Q9BYX4-2	0.111837826	-0.017086769	0.212105571	-7.17E-04	0.122650846	-0.17133516	-0.155520565	-0.213667616	0.107177396	0.091427424	0.22261535	0.014065242	-0.018500028	-0.023148455	-0.0495479	-0.144614476	0.133315134	0.061154966	0.142016645	0.074044857	-0.122854661	-0.231072436	-0.219867755	-0.105668436
RRM2	P31350;P31350-2	-0.303074964	0.029622736	-0.885273208	0.006169399	0.091678496	-0.632596412	-0.465573312	-0.808167921	-0.084890869	0.207695347	-0.128597666	0.006487971	0.063045785	0.016568556	-0.157850326	-0.090760418	-0.099091715	0.008757465	-0.22065883	-0.042279053	0.00334521	-0.327943813	-0.14071207	-0.305792078
FAM241B	Q96D05;Q96D05-2	-0.048694943	0.105617227	0.002601451	0.105390995	0.118883494	-0.018932836	-0.19293833	0.045654885	-0.122598192	-0.053132545	-0.091438913	-0.163620744	-0.003280479	-0.116842784	-0.131642349	-0.105652969	-0.124275965	-0.005587875	0.046865594	-0.056573695	-0.034814015	-0.059540587	-0.106108494	-0.088310457
SEMA3D	O95025	-0.135060073	-0.281966558	-0.202644002	-0.220457296	-0.154548172	0.189729802	0.311868956	-0.068032303	-0.139904184	-0.204265521	-0.287972349	-0.175821209	-0.058482769	0.23481237	0.24866455	-0.006758109	-0.153817217	-0.129836843	-0.166464945	-0.05847382	0.031824858	0.290596246	0.458932783	-0.06066301
CSRP2	Q16527	0.02715333	0.042051823	0.236279067	-0.032302714	-0.012369749	0.256161796	0.221895633	0.32157199	0.075781203	-0.065385558	-0.038175941	-0.085918706	-0.028432586	0.117527516	0.043579125	0.337662608	-0.061356334	-0.118548949	-0.072658191	0.004968732	-0.131531865	-0.056708925	-0.163714711	0.058490942
ANLN	Q9NQW6;Q9NQW6-2	0.182638408	0.170616686	-0.488138368	-1.10214234	-0.924637718	0.391087697	-0.019543752	0.219565136	0.433968761	0.004226941	-0.051678132	-0.274608814	-0.242963831	0.308704247	0.555641006	-0.064575945	-0.191691042	-0.328593656	-0.458697511	-0.940126538	-0.773084212	0.480712951	0.23091588	0.227017241
ACOX1	Q15067;Q15067-2	-0.15711488	-0.190628992	0.464557928	0.196659966	0.185269634	0.140752793	-0.030366926	0.101348767	-0.113067348	-0.098241655	0.190970074	0.016487005	0.116325828	0.022517481	0.078696624	0.020427702	0.089003309	-0.204704178	0.178481946	0.256173868	0.23059907	-0.009722566	-0.393322693	-0.176296857
RFC1	P35251;P35251-2	0.069429689	-0.105225478	-0.109548463	-0.185436602	-0.136876671	-0.03193582	0.036535745	0.080290498	0.012121912	-0.020771828	-0.132922053	-0.119833148	-0.098301003	-0.004942183	0.047486982	0.057314574	0.065009462	0.022090515	-0.109974953	-0.17917862	-0.023916025	0.10562126	0.094654601	0.070449733
PTPRF	P10586;P10586-2	0.302897561	-1.875765611	0.068887661	-1.926208331	-0.090580895	0.965929386	1.020691473	0.491561582	-0.193731273	-0.672514988	-0.800115449	-0.816372352	0.106920125	0.66560625	0.707907323	-0.120101201	-0.347603591	-0.369460917	-0.889622393	-0.686854204	-0.458582199	0.254247191	0.674889887	-0.03320951
TAP2	Q03519;Q03519-2	0.055324345	0.124304414	0.214167798	0.231071791	-0.230216205	-0.177325437	-0.131921878	0.467513163	0.00610029	-0.051147574	0.034157618	0.22129787	-0.099281404	-0.076650325	-0.153345771	0.39503509	0.213802953	0.123078856	0.291155325	0.248169302	-0.119082875	0.058405209	0.250734964	0.376776108
ORC6	Q9Y5N6	-0.064423476	-0.057512159	-0.41700729	-0.135477444	-0.245238107	-0.419180306	-0.294500797	-0.442037877	-0.084614082	0.191968781	-0.018587358	-0.025849431	-0.074007038	-0.168292227	-0.184825456	-0.192825087	-0.071317529	0.092896833	-0.057384079	0.121233967	0.072805135	-0.397547353	-0.01809621	-0.212653352
UBE2T	Q9NPD8	0.175408625	-0.007779846	0.223744855	0.046079704	-0.243938482	-0.080462433	-0.135942994	0.020488226	0.050717002	-0.056989594	0.174601952	0.192085948	0.005028593	-0.129747625	-0.170005078	0.028905978	0.116302097	-0.014239811	0.225866418	0.241905805	0.071943939	-0.046617389	-0.112220315	-0.020894906
TOR3A	Q9H497;Q9H497-2;Q9H497-3	0.09190698	-0.007472064	0.487119481	0.637930562	0.324306222	-0.14458341	-0.140892107	-0.344901059	-0.035694351	-0.172987216	0.234187973	0.421265606	0.011201814	-0.205661338	-0.049742314	-0.348895448	0.101755786	0.074595943	0.349340076	0.532088095	0.225726691	-0.19215568	-0.068049321	-0.348652621
PIMREG	Q9BSJ6-2;Q9BSJ6	0.032200818	0.144553716	0.187789653	0.096230322	0.180514386	0.200882267	0.071873201	0.222066711	0.15773639	-0.040062346	-0.099628629	-0.036450503	0.190820707	0.087679472	0.22613088	-0.121677173	-0.083402961	-0.00418738	5.73E-04	-0.060415171	-0.035751919	0.070362663	-0.105934568	0.108035119
TRIM14	Q14142;Q14142-3;Q14142-2;Q14142-4	0.140653113	0.078136167	0.112549283	0.081657974	-0.222233389	-0.128072879	-0.212825907	-0.088811964	0.051478574	0.005587573	0.260757507	0.295391683	-0.106111503	-0.279475737	-0.34093208	-0.16684304	0.214176986	0.124201744	0.400935293	0.391585994	0.106192234	-0.080835689	-0.065267109	-0.045415519
CHAF1A	Q13111;Q13111-2;Q13111-3	-0.147586694	-0.020148675	-0.123856996	0.131756338	0.20906422	-0.156992372	-0.270123032	-0.391051738	0.067400935	0.037490375	0.122974323	0.029045211	0.212030683	0.036401176	0.113684288	-0.207879829	-0.092367317	-0.091438556	-0.034839216	-0.136660847	-0.102850604	-0.262479994	-0.151930043	-0.128088269
